date,new_cases
2021-12-04,13
2021-12-05,16
2021-12-06,20
2021-12-07,26
2021-12-08,32
2021-12-09,41
2021-12-10,51
2021-12-11,64
2021-12-12,80
2021-12-13,100
2021-12-14,124
2021-12-15,153
2021-12-16,188
2021-12-17,229
2021-12-18,277
2021-12-19,332
2021-12-20,394
2021-12-21,461
2021-12-22,533
2021-12-23,608
2021-12-24,683
2021-12-25,757
2021-12-26,827
2021-12-27,891
2021-12-28,950
2021-12-29,1000
2021-12-30,1044
2021-12-31,1080
2022-01-01,1109
2022-01-02,1132
2022-01-03,1150
2022-01-04,1164
2022-01-05,1173
2022-01-06,1180
2022-01-07,1184
2022-01-08,1186
2022-01-09,1186
2022-01-10,1185
2022-01-11,1182
2022-01-12,1179
2022-01-13,1176
2022-01-14,1171
2022-01-15,1167
2022-01-16,1162
2022-01-17,1157
2022-01-18,1151
2022-01-19,1146
2022-01-20,1140
2022-01-21,1135
2022-01-22,1129
2022-01-23,1123
2022-01-24,1118
2022-01-25,1112
2022-01-26,1106
2022-01-27,1100
2022-01-28,1095
2022-01-29,1089
2022-01-30,1083
2022-01-31,1077
2022-02-01,1072
2022-02-02,1066
2022-02-03,1061
2022-02-04,1055
2022-02-05,1049
2022-02-06,1044
2022-02-07,1038
2022-02-08,1033
2022-02-09,1028
2022-02-10,1022
2022-02-11,1017
2022-02-12,1011
2022-02-13,1006
2022-02-14,1001
2022-02-15,996
2022-02-16,990
2022-02-17,985
2022-02-18,980
2022-02-19,975
2022-02-20,970
2022-02-21,964
2022-02-22,959
2022-02-23,954
2022-02-24,949
2022-02-25,944
2022-02-26,939
2022-02-27,934
2022-02-28,929
2022-03-01,925
2022-03-02,920
2022-03-03,915
